@relation new_training-weka.filters.unsupervised.attribute.Remove-R168

@attribute MACCSFP1 numeric
@attribute MACCSFP2 numeric
@attribute MACCSFP3 numeric
@attribute MACCSFP4 numeric
@attribute MACCSFP5 numeric
@attribute MACCSFP6 numeric
@attribute MACCSFP7 numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP9 numeric
@attribute MACCSFP10 numeric
@attribute MACCSFP11 numeric
@attribute MACCSFP12 numeric
@attribute MACCSFP13 numeric
@attribute MACCSFP14 numeric
@attribute MACCSFP15 numeric
@attribute MACCSFP16 numeric
@attribute MACCSFP17 numeric
@attribute MACCSFP18 numeric
@attribute MACCSFP19 numeric
@attribute MACCSFP20 numeric
@attribute MACCSFP21 numeric
@attribute MACCSFP22 numeric
@attribute MACCSFP23 numeric
@attribute MACCSFP24 numeric
@attribute MACCSFP25 numeric
@attribute MACCSFP26 numeric
@attribute MACCSFP27 numeric
@attribute MACCSFP28 numeric
@attribute MACCSFP29 numeric
@attribute MACCSFP30 numeric
@attribute MACCSFP31 numeric
@attribute MACCSFP32 numeric
@attribute MACCSFP33 numeric
@attribute MACCSFP34 numeric
@attribute MACCSFP35 numeric
@attribute MACCSFP36 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP39 numeric
@attribute MACCSFP40 numeric
@attribute MACCSFP41 numeric
@attribute MACCSFP42 numeric
@attribute MACCSFP43 numeric
@attribute MACCSFP44 numeric
@attribute MACCSFP45 numeric
@attribute MACCSFP46 numeric
@attribute MACCSFP47 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP50 numeric
@attribute MACCSFP51 numeric
@attribute MACCSFP52 numeric
@attribute MACCSFP53 numeric
@attribute MACCSFP54 numeric
@attribute MACCSFP55 numeric
@attribute MACCSFP56 numeric
@attribute MACCSFP57 numeric
@attribute MACCSFP58 numeric
@attribute MACCSFP59 numeric
@attribute MACCSFP60 numeric
@attribute MACCSFP61 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP63 numeric
@attribute MACCSFP64 numeric
@attribute MACCSFP65 numeric
@attribute MACCSFP66 numeric
@attribute MACCSFP67 numeric
@attribute MACCSFP68 numeric
@attribute MACCSFP69 numeric
@attribute MACCSFP70 numeric
@attribute MACCSFP71 numeric
@attribute MACCSFP72 numeric
@attribute MACCSFP73 numeric
@attribute MACCSFP74 numeric
@attribute MACCSFP75 numeric
@attribute MACCSFP76 numeric
@attribute MACCSFP77 numeric
@attribute MACCSFP78 numeric
@attribute MACCSFP79 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP81 numeric
@attribute MACCSFP82 numeric
@attribute MACCSFP83 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP85 numeric
@attribute MACCSFP86 numeric
@attribute MACCSFP87 numeric
@attribute MACCSFP88 numeric
@attribute MACCSFP89 numeric
@attribute MACCSFP90 numeric
@attribute MACCSFP91 numeric
@attribute MACCSFP92 numeric
@attribute MACCSFP93 numeric
@attribute MACCSFP94 numeric
@attribute MACCSFP95 numeric
@attribute MACCSFP96 numeric
@attribute MACCSFP97 numeric
@attribute MACCSFP98 numeric
@attribute MACCSFP99 numeric
@attribute MACCSFP100 numeric
@attribute MACCSFP101 numeric
@attribute MACCSFP102 numeric
@attribute MACCSFP103 numeric
@attribute MACCSFP104 numeric
@attribute MACCSFP105 numeric
@attribute MACCSFP106 numeric
@attribute MACCSFP107 numeric
@attribute MACCSFP108 numeric
@attribute MACCSFP109 numeric
@attribute MACCSFP110 numeric
@attribute MACCSFP111 numeric
@attribute MACCSFP112 numeric
@attribute MACCSFP113 numeric
@attribute MACCSFP114 numeric
@attribute MACCSFP115 numeric
@attribute MACCSFP116 numeric
@attribute MACCSFP117 numeric
@attribute MACCSFP118 numeric
@attribute MACCSFP119 numeric
@attribute MACCSFP120 numeric
@attribute MACCSFP121 numeric
@attribute MACCSFP122 numeric
@attribute MACCSFP123 numeric
@attribute MACCSFP124 numeric
@attribute MACCSFP125 numeric
@attribute MACCSFP126 numeric
@attribute MACCSFP127 numeric
@attribute MACCSFP128 numeric
@attribute MACCSFP129 numeric
@attribute MACCSFP130 numeric
@attribute MACCSFP131 numeric
@attribute MACCSFP132 numeric
@attribute MACCSFP133 numeric
@attribute MACCSFP134 numeric
@attribute MACCSFP135 numeric
@attribute MACCSFP136 numeric
@attribute MACCSFP137 numeric
@attribute MACCSFP138 numeric
@attribute MACCSFP139 numeric
@attribute MACCSFP140 numeric
@attribute MACCSFP141 numeric
@attribute MACCSFP142 numeric
@attribute MACCSFP143 numeric
@attribute MACCSFP144 numeric
@attribute MACCSFP145 numeric
@attribute MACCSFP146 numeric
@attribute MACCSFP147 numeric
@attribute MACCSFP148 numeric
@attribute MACCSFP149 numeric
@attribute MACCSFP150 numeric
@attribute MACCSFP151 numeric
@attribute MACCSFP152 numeric
@attribute MACCSFP153 numeric
@attribute MACCSFP154 numeric
@attribute MACCSFP155 numeric
@attribute MACCSFP156 numeric
@attribute MACCSFP157 numeric
@attribute MACCSFP158 numeric
@attribute MACCSFP159 numeric
@attribute MACCSFP160 numeric
@attribute MACCSFP161 numeric
@attribute MACCSFP162 numeric
@attribute MACCSFP163 numeric
@attribute MACCSFP164 numeric
@attribute MACCSFP165 numeric
@attribute MACCSFP166 numeric
@attribute Actividad {Act1,Act-1}

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,Act1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,Act1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,Act-1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,Act-1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Act-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,Act-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,Act-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,Act-1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,Act-1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,Act1
