@relation J48_external-comb.arff

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
7.4928,1.5558,1.0442,0,0,18.8404,0,8.9164,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,Act1
7.6061,1.433,1.0465,0,0,16.0392,0,7.6311,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Act1
7.8305,1.5758,0.7515,0,0,22.1286,0,7.2113,1,1,1,1,3,0,0,0,0,1,0,0,0,1,1,1,Act1
8.1481,1.4919,1.1454,0,0,13.0566,0,11.8477,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
8.1694,1.4145,1.1669,0,0,16.1908,0,12.7351,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,Act1
7.9405,1.3348,1.0542,0,0,1.6639,0,6.7426,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.7564,1.3323,0.9799,0,0,1.9713,2,5.7132,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Act1
7.4497,1.4034,1.0652,0,0,14.7798,0,6.5196,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
8.1136,1.3462,0.9158,0,0,9.467,0,8.8058,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,Act1
7.9306,1.2669,0.9586,0,0,13.0871,0,13.0596,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.5706,1.3971,0.8908,0,0,18.092,0,11.8454,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
7.5819,1.2877,0.9133,0,0,23.2478,0,13.0986,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,Act1
7.7656,1.2877,0.9025,0,0,20.8749,0,10.8074,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,Act1
7.869,1.2727,0.9047,0,0,13.5402,0,13.3441,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,Act1
8.0076,1.4489,1.1614,0,1,14.1794,0,6.2306,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.3382,1.3426,0.8362,0,0,17.6642,0,6.2761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8333,1.3486,1.0438,0,1,5.9764,0,4.2073,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.4066,1.2565,0.9428,0,0,19.1126,0,7.7416,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Act1
7.8778,1.282,1.0576,0,0,7.3099,0,4.4519,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.419,1.2598,0.9481,0,0,8.8172,0,9.5189,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.6042,1.2708,0.8293,0,0,17.596,0,12.0567,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.6989,1.5174,1.0487,0,0,19.6908,0,10.101,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,Act1
7.4048,1.3427,1.1643,0,0,18.986,0,11.2461,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8966,1.3308,0.9973,0,0,1.9156,0,6.0746,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.7895,1.5141,1.1851,0,0,13.9305,0,4.3367,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
7.58,1.5314,1.2921,0,0,16.0563,0,9.0469,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,Act1
7.881,1.3472,0.7557,0,0,12.3811,0,4.7451,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8234,1.292,0.8102,0,0,8.7348,0,7.0218,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
8.0033,1.2084,1.0202,0,0,2.7083,0,10.758,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,Act-1
7.7813,1.3306,1.2961,0,0,13.3562,0,6.7722,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Act1
7.7056,1.6282,0.9793,0,0,26.7144,0,14.2567,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
8.0911,1.4089,1.0752,0,0,20.1221,0,10.527,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8305,1.3878,1.0123,0,0,22.2626,0,12.8556,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8333,1.4896,0.9768,0,0,21.9524,0,13.8331,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.7742,1.5451,0.9246,0,0,23.0069,0,13.6163,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,Act1
7.714,1.422,0.8449,0,0,20.4771,0,13.3661,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.8073,1.2846,1.0386,0,0,12.1588,0,9.2905,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act-1
7.8048,1.2837,1.142,0,0,8.5835,0,9.1914,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
7.8563,1.313,1.0443,0,0,12.051,0,8.767,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act-1
7.6944,1.3088,1.0151,0,0,11.1782,0,13.5821,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,Act1
7.9435,1.3572,0.829,0,0,13.8964,0,6.6751,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,Act1
7.5606,1.4697,0.8056,0,1,16.5542,0,9.6187,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,Act-1
8.1571,1.5623,1.029,0,0,13.3979,0,12.3325,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.7815,1.5227,1.0946,0,0,16.0803,0,11.5835,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,Act1
7.75,1.4425,1.1545,0,0,26.9202,0,12.7396,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,Act1
7.6092,1.5421,0.9534,0,0,15.8518,0,8.2286,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
7.8016,1.3724,0.9176,0,0,19.5078,0,10.172,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,Act1
7.8667,1.3092,0.8814,0,0,8.4778,0,13.6154,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,Act1
7.6838,1.3725,1.0492,0,0,9.1407,0,11.9249,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,Act1
7.7778,1.3771,0.9939,0,0,8.7027,0,13.2101,1,1,1,1,2,0,0,0,0,0,0,0,0,1,1,1,Act1
