@relation J48_training-comb.arff-weka.filters.unsupervised.attribute.Remove-R25

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
7.5345,1.5385,0.8974,0,0,21.9362,0,10.637,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,Act1
7.4397,1.1563,1.031,0,0,0,0,11.9063,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.5611,1.1828,1.1164,0,0,0,0,11.4908,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.6389,1.1546,1.0503,0,0,0,0,11.6669,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.3892,1.1107,1.0411,6,0,21.7512,0,6.7321,1,1,1,1,0,18,18,0,0,0,0,0,0,1,1,1,Act-1
8.6786,1.2483,0.1721,0,0,4.1243,1,2.8717,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Act-1
8.1515,1.2536,0.0445,0,0,6.471,1,2.8717,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Act-1
7.4583,1.3874,0.4557,0,0,10.4486,0,4.3952,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Act-1
7.918,1.2483,1.0482,0,0,5.8983,0,6.9481,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,Act-1
8.0294,1.3725,0.7583,0,0,13.279,2,6.3053,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,Act1
8.0625,1.3873,0.7185,0,0,13.1814,0,6.3053,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,Act1
7.9091,1.4494,0,0,0,11.0608,0,3.3889,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Act-1
7.8077,1.4262,0.6405,0,0,16.7564,0,5.9952,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Act-1
8.4943,1.1569,0.7992,2,0,4.2781,0,10.8047,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.6574,1.1932,0.9929,0,0,4.0006,0,7.5836,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,Act-1
7.6225,1.4087,0.9155,0,0,7.2651,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Act-1
7.8864,1.458,0.9417,0,0,10.737,0,8.2715,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act-1
7.381,1.0654,1.0003,0,0,0,0,7.6395,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.6377,1.1217,0.9873,0,0,0,0,7.3286,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5903,1.0861,0.9867,0,0,0,0,7.3286,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6389,1.0829,0.9243,0,0,0,0,7.2236,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6212,1.0789,1.008,0,0,0,0,7.1598,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5942,1.0767,0.9759,0,0,0,0,7.3286,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6667,1.1869,1.0164,0,0,0,0,7.3286,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4203,1.0708,0.903,0,0,0,0,7.7091,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.6364,1.1804,1.0467,0,0,5.8747,0,7.1598,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.5217,1.1783,1.0276,0,0,6.5865,0,7.1598,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4198,1.1666,1.0981,0,0,6.8803,0,11.2296,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6136,1.077,1.022,0,0,0,0,7.1598,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.7024,1.0753,0.9926,0,0,0,0,9.2566,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.6933,1.079,1,0,0,0,0,7.8908,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.3565,1.276,1.0687,0,0,5.8602,0,7.4102,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.3179,1.1445,0,0,0,0,0,4.7785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.281,1.4442,1.0189,2,0,8.0891,0,9.4889,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,Act1
7.5972,1.2813,0.6924,0,0,10.3083,0,6.7572,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5128,1.2599,0.8134,0,0,8.5838,0,6.9805,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.8532,1.2748,0.7732,0,0,5.552,0,6.6787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.9369,1.4706,0.8499,0,1,12.4961,0,10.2998,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
7.873,1.4757,0.8773,0,1,14.6188,0,8.8058,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,Act1
7.3512,1.3567,0.9693,0,0,32.3638,0,13.3785,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.2278,1.0496,0.9667,0,0,0,0,13.204,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,Act1
7.7593,1.3556,0.7722,0,1,17.7184,0,10.4432,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,Act1
7.9653,1.3372,1.3379,0,0,3.1586,0,15.4521,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,Act1
7.9259,1.3444,1.1212,0,0,20.4024,0,17.9414,1,1,1,1,2,0,0,0,0,1,0,0,0,1,1,1,Act1
7.8476,1.1513,0.8534,0,0,1.9609,0,12.321,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
