--- REPORTE DE CONSENSO FINAL (J48 + IBk) ---
------------------------------------------------------------
Atributo                                 | Frecuencia     
------------------------------------------------------------
F04[C-F]                                 | 2              
F06[N-N]                                 | 2              
F06[O-O]                                 | 2              
piPC05                                   | 2              
Yindex                                   | 2              
F09[C-S]                                 | 2              
F09[N-N]                                 | 2              
F09[N-O]                                 | 2              
CIC1                                     | 2              
F10[C-F]                                 | 2              
F10[N-N]                                 | 2              
SM5_X                                    | 2              
MDEC-44                                  | 2              
SM1_Dz(p)                                | 2              
phLevel1                                 | 2              
phLevel3                                 | 2              
s1_size                                  | 2              
s1_phSize                                | 2              
s3_phSize                                | 2              
MATS1p                                   | 2              
MATS2p                                   | 2              
MATS7p                                   | 2              
MATS5i                                   | 2              
GATS5m                                   | 2              
GATS6m                                   | 2              
MACCSFP17                                | 2              
MACCSFP25                                | 2              
GATS1i                                   | 2              
SpMax3_Bh(m)                             | 2              
MACCSFP39                                | 2              
MACCSFP42                                | 2              
MACCSFP54                                | 2              
P_VSA_m_4                                | 2              
P_VSA_p_3                                | 2              
MACCSFP59                                | 2              
MACCSFP66                                | 2              
MACCSFP73                                | 2              
Eta_beta_A                               | 2              
Eig06_EA(dm)                             | 2              
Eig15_EA(dm)                             | 2              
Eig12_AEA(dm)                            | 2              
Eig15_AEA(dm)                            | 2              
MACCSFP131                               | 2              
MACCSFP132                               | 2              
MACCSFP134                               | 2              
MACCSFP135                               | 2              
MACCSFP151                               | 2              
MACCSFP155                               | 2              
C-019                                    | 2              
MACCSFP159                               | 2              
MACCSFP160                               | 2              
MACCSFP163                               | 2              
C-041                                    | 2              
H-046                                    | 2              
SsssCH                                   | 2              
SdssC                                    | 2              
SssssN+                                  | 2              
CATS2D_07_DD                             | 2              
CATS2D_05_DA                             | 2              
CATS2D_03_DL                             | 2              
CATS2D_08_DL                             | 2              
CATS2D_06_AA                             | 2              
CATS2D_05_AP                             | 2              
CATS2D_07_AP                             | 2              
CATS2D_05_AN                             | 2              
CATS2D_07_NL                             | 2              
CATS2D_00_LL                             | 2              
CATS2D_03_LL                             | 2              
SHED_AL                                  | 2              
SHED_LL                                  | 2              
B01[O-S]                                 | 2              
B04[N-N]                                 | 2              
B04[O-S]                                 | 2              
B07[C-S]                                 | 2              
B08[C-C]                                 | 2              
B08[C-S]                                 | 2              
F01[N-N]                                 | 2              
F03[N-S]                                 | 2              
Psi_e_0                                  | 2              
PCR                                      | 2              
MACCSFP18                                | 2              
MACCSFP65                                | 2              
Eig13_EA(dm)                             | 2              
B06[C-C]                                 | 2              
B07[C-C]                                 | 2              
Psi_e_A                                  | 2              
LOGPcons                                 | 2              
F04[C-C]                                 | 1              
nX                                       | 1              
F04[N-S]                                 | 1              
nR07                                     | 1              
D/Dtr11                                  | 1              
PHI                                      | 1              
F08[N-O]                                 | 1              
F09[C-F]                                 | 1              
Acon                                     | 1              
Wi_D/Dt                                  | 1              
MDEN-13                                  | 1              
ATSC0m                                   | 1              
s3_phRelSize_2                           | 1              
MATS3p                                   | 1              
GATS2p                                   | 1              
MACCSFP34                                | 1              
MACCSFP35                                | 1              
MACCSFP37                                | 1              
P_VSA_LogP_5                             | 1              
P_VSA_MR_5                               | 1              
MACCSFP60                                | 1              
MACCSFP72                                | 1              
P_VSA_charge_13                          | 1              
Eta_C_A                                  | 1              
MACCSFP83                                | 1              
SpMAD_AEA(ed)                            | 1              
MACCSFP93                                | 1              
SpDiam_AEA(dm)                           | 1              
SpMAD_AEA(dm)                            | 1              
MACCSFP114                               | 1              
nRCONHR                                  | 1              
nArNH2                                   | 1              
nArNHR                                   | 1              
MACCSFP137                               | 1              
MACCSFP138                               | 1              
MACCSFP147                               | 1              
