--- REPORTE GENERAL DE FRECUENCIA DE ATRIBUTOS ---
Fuentes: 4 archivos raw
------------------------------------------------------------
Atributo                                 | Frecuencia Total    
------------------------------------------------------------
nR06                                     | 4                   
nR07                                     | 4                   
C1SP3                                    | 4                   
Yindex                                   | 4                   
IC2                                      | 4                   
SIC0                                     | 4                   
STN_L                                    | 4                   
SM3_X                                    | 4                   
WiA_D/Dt                                 | 4                   
MATS5p                                   | 4                   
GATS7p                                   | 4                   
GATS5i                                   | 4                   
SpMax1_Bh(i)                             | 4                   
SpMax2_Bh(i)                             | 4                   
P_VSA_MR_8                               | 4                   
Psi_e_0                                  | 4                   
Psi_e_A                                  | 4                   
PCR                                      | 4                   
Mp                                       | 3                   
H_percent                                | 3                   
totalcharge                              | 3                   
nIR                                      | 3                   
RFD                                      | 3                   
RCI                                      | 3                   
nR05                                     | 3                   
nR10                                     | 3                   
D/Dtr05                                  | 3                   
D/Dtr11                                  | 3                   
DECC                                     | 3                   
LOC                                      | 3                   
piPC05                                   | 3                   
CIC5                                     | 3                   
SpPosA_L                                 | 3                   
SM1_Dz(p)                                | 3                   
ATSC4m                                   | 3                   
MATS1m                                   | 3                   
MATS3m                                   | 3                   
MATS5i                                   | 3                   
GATS3p                                   | 3                   
GATS2i                                   | 3                   
GGI5                                     | 3                   
JGI1                                     | 3                   
SpMax4_Bh(m)                             | 3                   
P_VSA_MR_5                               | 3                   
P_VSA_e_3                                | 3                   
P_VSA_i_2                                | 3                   
P_VSA_ppp_D                              | 3                   
SHED_LL                                  | 3                   
LOGPcons                                 | 3                   
MW                                       | 3                   
stdMW                                    | 3                   
D/Dtr09                                  | 3                   
DELS                                     | 3                   
C2SP2                                    | 3                   
C2SP3                                    | 3                   
Vindex                                   | 3                   
BIC3                                     | 3                   
SpMaxA_B(m)                              | 3                   
SM6_B(m)                                 | 3                   
MATS7m                                   | 3                   
GATS2m                                   | 3                   
GATS5m                                   | 3                   
GATS8m                                   | 3                   
P_VSA_p_3                                | 3                   
P_VSA_s_1                                | 3                   
MAXDN                                    | 3                   
C1SP2                                    | 3                   
SM5_X                                    | 3                   
MATS8m                                   | 3                   
GATS6m                                   | 3                   
AAC                                      | 3                   
GATS2p                                   | 3                   
F02[N-S]                                 | 2                   
