--- REPORTE DE DIAGNÓSTICO DE CONSENSO (J48 + IBk) ---
------------------------------------------------------------
Atributo (o Índice)                      | Frecuencia     
------------------------------------------------------------
@relation pampa_combined_dataset         | 3              
Índice Fuera de Rango: 4                 | 3              
Índice Fuera de Rango: 522               | 2              
Índice Fuera de Rango: 538               | 2              
Índice Fuera de Rango: 542               | 2              
Índice Fuera de Rango: 47                | 2              
Índice Fuera de Rango: 52                | 2              
Índice Fuera de Rango: 564               | 2              
Índice Fuera de Rango: 567               | 2              
Índice Fuera de Rango: 568               | 2              
Índice Fuera de Rango: 58                | 2              
Índice Fuera de Rango: 572               | 2              
Índice Fuera de Rango: 574               | 2              
Índice Fuera de Rango: 68                | 2              
Índice Fuera de Rango: 583               | 2              
Índice Fuera de Rango: 77                | 2              
Índice Fuera de Rango: 593               | 2              
Índice Fuera de Rango: 595               | 2              
Índice Fuera de Rango: 598               | 2              
Índice Fuera de Rango: 602               | 2              
Índice Fuera de Rango: 604               | 2              
Índice Fuera de Rango: 100               | 2              
Índice Fuera de Rango: 101               | 2              
Índice Fuera de Rango: 106               | 2              
Índice Fuera de Rango: 112               | 2              
Índice Fuera de Rango: 120               | 2              
Índice Fuera de Rango: 121               | 2              
Índice Fuera de Rango: 634               | 2              
Índice Fuera de Rango: 642               | 2              
Índice Fuera de Rango: 131               | 2              
Índice Fuera de Rango: 141               | 2              
Índice Fuera de Rango: 656               | 2              
Índice Fuera de Rango: 659               | 2              
Índice Fuera de Rango: 671               | 2              
Índice Fuera de Rango: 161               | 2              
Índice Fuera de Rango: 163               | 2              
Índice Fuera de Rango: 676               | 2              
Índice Fuera de Rango: 683               | 2              
Índice Fuera de Rango: 690               | 2              
Índice Fuera de Rango: 184               | 2              
Índice Fuera de Rango: 213               | 2              
Índice Fuera de Rango: 221               | 2              
Índice Fuera de Rango: 224               | 2              
Índice Fuera de Rango: 225               | 2              
Índice Fuera de Rango: 748               | 2              
Índice Fuera de Rango: 749               | 2              
Índice Fuera de Rango: 751               | 2              
Índice Fuera de Rango: 752               | 2              
Índice Fuera de Rango: 768               | 2              
Índice Fuera de Rango: 772               | 2              
Índice Fuera de Rango: 263               | 2              
Índice Fuera de Rango: 776               | 2              
Índice Fuera de Rango: 777               | 2              
Índice Fuera de Rango: 780               | 2              
Índice Fuera de Rango: 273               | 2              
Índice Fuera de Rango: 276               | 2              
Índice Fuera de Rango: 295               | 2              
Índice Fuera de Rango: 296               | 2              
Índice Fuera de Rango: 300               | 2              
Índice Fuera de Rango: 344               | 2              
Índice Fuera de Rango: 350               | 2              
Índice Fuera de Rango: 357               | 2              
Índice Fuera de Rango: 362               | 2              
Índice Fuera de Rango: 367               | 2              
Índice Fuera de Rango: 372               | 2              
Índice Fuera de Rango: 374               | 2              
Índice Fuera de Rango: 380               | 2              
Índice Fuera de Rango: 406               | 2              
Índice Fuera de Rango: 409               | 2              
Índice Fuera de Rango: 410               | 2              
Índice Fuera de Rango: 419               | 2              
Índice Fuera de Rango: 423               | 2              
Índice Fuera de Rango: 437               | 2              
Índice Fuera de Rango: 448               | 2              
Índice Fuera de Rango: 452               | 2              
Índice Fuera de Rango: 474               | 2              
Índice Fuera de Rango: 480               | 2              
Índice Fuera de Rango: 483               | 2              
Índice Fuera de Rango: 508               | 2              
Índice Fuera de Rango: 2                 | 2              
Índice Fuera de Rango: 518               | 2              
Índice Fuera de Rango: 38                | 2              
Índice Fuera de Rango: 48                | 2              
Índice Fuera de Rango: 635               | 2              
Índice Fuera de Rango: 682               | 2              
