@RELATION Pampa_Data

@ATTRIBUTE LOGPcons NUMERIC
@ATTRIBUTE MACCSFP125 NUMERIC
@ATTRIBUTE PCR NUMERIC
@ATTRIBUTE Psi_e_A NUMERIC
@ATTRIBUTE P_VSA_ppp_D NUMERIC
@ATTRIBUTE Mp NUMERIC
@ATTRIBUTE SpMin1_Bh(p) NUMERIC
@ATTRIBUTE Actividad {Act-1,Act1}

@DATA
4.206,1,1.5558,7.4928,0.0,0.7241,2.0559,Act1
4.0366,1,1.433,7.6061,0.0,0.6743,2.0294,Act1
3.7141,1,1.5758,7.8305,32.8972,0.751,2.1331,Act1
3.4863,1,1.4919,8.1481,103.3774,0.7369,2.0368,Act1
2.6063,1,1.4145,8.1694,34.4157,0.6855,2.0622,Act1
2.373,0,1.3348,7.9405,60.6941,0.6726,2.0203,Act1
2.5649,0,1.3323,7.7564,32.8972,0.6703,2.0245,Act1
5.0377,1,1.4034,7.4497,0.0,0.7273,2.0545,Act1
2.8109,1,1.3462,8.1136,68.9187,0.6461,2.0387,Act1
4.1064,1,1.2669,7.9306,42.6833,0.6703,2.0752,Act1
3.5667,1,1.3971,7.5706,59.4689,0.6875,2.0742,Act1
4.1771,1,1.2877,7.5819,0.0,0.7072,2.0733,Act1
3.7967,1,1.2877,7.7656,0.0,0.6611,2.0744,Act1
3.4968,1,1.2727,7.869,18.0108,0.6584,2.0558,Act1
2.6541,1,1.4489,8.0076,34.7963,0.6911,2.0564,Act1
3.2334,1,1.3426,7.3382,18.0108,0.698,2.0544,Act1
2.6247,1,1.3486,7.8333,34.7963,0.671,1.9918,Act1
4.0342,1,1.2565,7.4066,0.0,0.6721,2.0629,Act1
2.01,1,1.282,7.8778,42.6833,0.6541,2.1003,Act1
4.4,1,1.2598,7.419,18.0108,0.6306,2.1467,Act1
3.7174,1,1.2708,7.6042,85.3667,0.6434,2.0825,Act1
3.0417,1,1.5174,7.6989,34.7963,0.6827,2.0408,Act1
4.2076,1,1.3427,7.4048,0.0,0.6434,2.0483,Act1
1.8905,0,1.3308,7.8966,18.0108,0.6457,2.0251,Act-1
2.9361,1,1.5141,7.7895,18.0108,0.7172,2.128,Act1
3.8155,1,1.5314,7.58,0.0,0.7071,2.0221,Act1
1.6443,1,1.3472,7.881,18.0108,0.7454,1.9763,Act1
3.4464,1,1.292,7.8234,0.0,0.6784,2.0654,Act1
1.2034,0,1.2084,8.0033,50.9079,0.6273,2.0601,Act-1
2.8648,1,1.3306,7.7813,36.0215,0.7115,2.0149,Act1
5.0799,1,1.6282,7.7056,18.0108,0.718,2.1266,Act1
4.3421,1,1.4089,8.0911,0.0,0.7105,2.0696,Act1
4.0897,1,1.3878,7.8305,42.6833,0.6874,2.0303,Act1
4.62,1,1.4896,7.8333,0.0,0.6846,2.0688,Act1
4.9589,1,1.5451,7.7742,36.0215,0.7063,2.1466,Act1
4.9886,1,1.422,7.714,60.6941,0.6858,2.0437,Act1
2.3197,1,1.2846,7.8073,42.6833,0.6624,2.0548,Act-1
2.557,1,1.2837,7.8048,42.6833,0.6523,2.0654,Act1
2.6137,1,1.313,7.8563,42.6833,0.6642,2.0546,Act-1
4.1174,1,1.3088,7.6944,0.0,0.6421,2.0574,Act1
4.706,1,1.3572,7.9435,0.0,0.6852,2.0214,Act1
3.7336,1,1.4697,7.5606,50.9079,0.682,2.0918,Act-1
5.2246,1,1.5623,8.1571,18.0108,0.7791,2.0301,Act1
4.5416,1,1.5227,7.7815,18.0108,0.7187,2.0464,Act1
5.4878,1,1.4425,7.75,18.0108,0.7226,2.0709,Act1
4.1477,1,1.5421,7.6092,0.0,0.673,2.1105,Act1
4.3747,1,1.3724,7.8016,0.0,0.7008,2.0359,Act1
3.0356,1,1.3092,7.8667,18.0108,0.6901,2.1282,Act1
3.5985,1,1.3725,7.6838,50.9079,0.7282,2.1346,Act1
3.1685,1,1.3771,7.7778,50.9079,0.6901,2.1346,Act1
5.0239,1,1.469,7.5255,18.0108,0.7018,2.1277,Act1
3.6735,1,1.2966,7.9077,34.4157,0.7057,2.0468,Act1
3.9654,1,1.2956,7.9891,34.4157,0.7315,2.039,Act1
2.9237,1,1.3073,7.8003,0.0,0.6695,2.0956,Act1
3.2677,1,1.247,7.8704,18.0108,0.6888,2.0598,Act1
4.4179,1,1.4244,7.5893,18.0108,0.646,2.0433,Act1
4.7604,1,1.4476,7.5517,18.0108,0.6818,2.1168,Act1
5.0279,1,1.426,7.7832,0.0,0.7127,2.1025,Act1
3.4866,1,1.3044,8.0588,34.4157,0.7526,2.0392,Act1
3.929,1,1.3055,7.9753,34.4157,0.7526,2.0431,Act1
4.8287,1,1.2689,7.6687,36.0215,0.6793,2.065,Act1
4.7324,1,1.2689,7.8909,36.0215,0.6837,2.0647,Act1
3.8873,1,1.2974,7.9531,34.4157,0.7147,2.046,Act1
3.0612,1,1.3029,8.1,52.4265,0.7411,2.0474,Act1
4.6737,1,1.2865,7.8833,16.405,0.7245,2.0648,Act1
4.9039,1,1.2761,7.7411,36.0215,0.6665,2.078,Act1
2.8825,1,1.307,7.7724,18.0108,0.6928,2.1074,Act1
3.1425,1,1.3166,7.7222,18.0108,0.6669,2.0933,Act1
6.0439,1,1.4278,8.3764,18.0108,0.706,2.0356,Act1
2.3937,0,1.3064,8.0104,0.0,0.7075,2.0515,Act1
4.1996,1,1.5119,7.4405,0.0,0.6709,2.1814,Act1
6.0067,1,1.4453,7.6465,54.0323,0.681,2.074,Act-1
5.5931,1,1.4338,7.6847,54.0323,0.666,2.071,Act1
4.2983,1,1.3983,7.6506,18.0108,0.7135,2.003,Act1
1.6179,1,1.3778,7.9815,18.0108,0.6605,2.0701,Act1
4.7018,1,1.4088,7.9902,34.7963,0.7124,2.0318,Act1
5.201,1,1.3841,7.6004,18.0108,0.7146,2.0019,Act1
5.5134,1,1.3851,7.8704,16.663,0.7567,2.0278,Act1
4.6256,1,1.3796,7.7745,16.663,0.7035,2.0386,Act1
3.519,1,1.2856,7.7525,36.0215,0.6402,2.0747,Act1
4.2364,1,1.3845,7.8125,16.663,0.6922,2.0436,Act1
3.9736,1,1.47,7.5139,18.0108,0.6767,2.1278,Act1
4.421,1,1.4738,7.4493,18.0108,0.6818,2.1287,Act1
5.2826,1,1.4581,7.8347,0.0,0.6989,2.078,Act1
4.2855,1,1.2577,7.9905,18.0108,0.6813,2.0109,Act1
4.7914,1,1.4771,7.8981,60.6941,0.7156,2.0869,Act1
4.4792,1,1.4122,7.5972,18.0108,0.6897,2.0157,Act1
5.3853,1,1.475,7.569,18.0108,0.7073,2.0249,Act1
4.0221,1,1.4158,7.6867,0.0,0.7169,2.0132,Act1
4.2126,1,1.4473,7.7097,32.8972,0.6637,2.1595,Act1
3.6567,1,1.5104,7.7692,0.0,0.68,2.0049,Act1
4.2023,1,1.3937,7.571,18.0108,0.6889,2.0531,Act1
5.7147,1,1.5062,7.7598,0.0,0.7151,2.0366,Act1
3.1977,0,1.3124,7.9678,35.899,0.6773,2.0476,Act1
3.3576,1,1.4239,8.2569,18.0108,0.7245,2.0502,Act1
3.5402,1,1.4409,8.4772,18.0108,0.7332,2.0515,Act1
3.0898,1,1.4018,8.0962,18.0108,0.7299,2.0528,Act1
4.2758,1,1.3012,7.7567,0.0,0.6786,2.0159,Act1
3.9187,1,1.3061,7.7882,0.0,0.6848,2.0146,Act1
4.4744,1,1.3724,7.753,0.0,0.7111,2.0348,Act1
4.5303,1,1.4153,8.0158,18.0108,0.6807,2.0739,Act1
3.2954,1,1.37,7.7333,18.0108,0.6398,2.0667,Act1
4.0736,1,1.3744,7.6131,0.0,0.6576,2.0445,Act1
4.7368,1,1.485,7.9409,18.0108,0.7398,2.0258,Act1
4.103,1,1.4149,7.8189,18.0108,0.7106,1.9928,Act-1
4.7307,1,1.3945,7.5741,18.0108,0.6947,2.0406,Act1
0.7305,1,1.2972,8.1233,18.0108,0.6868,1.9992,Act1
3.7635,1,1.2584,7.7559,18.0108,0.6564,2.0749,Act1
2.8022,1,1.4045,7.9839,18.0108,0.6677,2.0871,Act1
4.4254,1,1.4869,7.5677,18.0108,0.669,2.0504,Act1
2.3341,1,1.431,8.0,60.6941,0.6629,2.0121,Act1
4.911,1,1.4024,7.6667,60.6941,0.6563,2.0661,Act1
5.0897,1,1.4463,8.0794,18.0108,0.7126,2.0638,Act1
5.9282,1,1.3973,7.9083,0.0,0.6795,2.0717,Act1
2.258,0,1.3276,8.1478,16.405,0.7322,2.0376,Act1
1.3506,0,1.331,8.2767,16.405,0.7208,2.0403,Act1
4.5847,1,1.3669,7.7963,18.0108,0.6826,2.0093,Act1
5.4691,1,1.3523,7.8819,0.0,0.6865,2.1234,Act1
5.216,1,1.3582,7.8976,0.0,0.6913,2.1218,Act1
