@RELATION Pampa_Data

@ATTRIBUTE LOGPcons NUMERIC
@ATTRIBUTE MACCSFP125 NUMERIC
@ATTRIBUTE PCR NUMERIC
@ATTRIBUTE Psi_e_A NUMERIC
@ATTRIBUTE P_VSA_ppp_D NUMERIC
@ATTRIBUTE Mp NUMERIC
@ATTRIBUTE SpMin1_Bh(p) NUMERIC
@ATTRIBUTE Actividad {Act-1,Act1}

@DATA
4.8347,1,1.5385,7.5345,18.0108,0.6771,2.0792,Act1
6.1425,0,1.1563,7.4397,85.3667,0.6118,2.0637,Act1
4.9651,0,1.1828,7.5611,128.05,0.6097,2.0634,Act-1
3.8784,0,1.1546,7.6389,128.05,0.6084,2.0599,Act-1
-7.2543,1,1.1107,8.3892,735.3297,0.6162,2.0389,Act-1
-2.2527,0,1.2483,8.6786,85.3667,0.6252,2.0328,Act-1
-1.4625,0,1.2536,8.1515,85.3667,0.6131,2.0236,Act-1
-0.3646,1,1.3874,7.4583,16.7855,0.648,2.0224,Act-1
1.6982,0,1.2483,7.918,42.6833,0.6364,2.0364,Act-1
1.6402,1,1.3725,8.0294,0.0,0.9014,1.9936,Act1
2.901,1,1.3873,8.0625,0.0,0.7708,2.0033,Act1
1.0608,1,1.4494,7.9091,16.7855,0.708,2.1507,Act-1
2.6525,1,1.4262,7.8077,0.0,0.7219,2.0476,Act-1
1.9037,0,1.1569,8.4943,121.3882,0.6718,1.9778,Act-1
2.9268,0,1.1932,7.6574,93.5913,0.6951,2.0468,Act-1
1.5714,1,1.4087,7.6225,36.0215,0.7283,2.0967,Act-1
5.025,1,1.458,7.8864,42.6833,0.7764,2.0132,Act-1
4.8115,0,1.0654,7.381,42.6833,0.635,2.137,Act-1
3.98,0,1.1217,7.6377,42.6833,0.6491,2.1327,Act-1
4.296,0,1.0861,7.5903,85.489,0.6335,2.1362,Act1
4.3047,0,1.0829,7.6389,42.6833,0.6456,2.1343,Act1
3.8315,0,1.0789,7.6212,42.6833,0.6418,2.1348,Act-1
4.1879,0,1.0767,7.5942,42.6833,0.6386,2.1365,Act1
3.9093,0,1.1869,7.6667,42.6833,0.6605,2.1183,Act1
5.2825,0,1.0708,7.4203,42.6833,0.6392,2.1364,Act-1
4.1593,0,1.1804,7.6364,85.3667,0.6532,2.1335,Act1
4.4183,0,1.1783,7.5217,42.6833,0.6491,2.1343,Act1
5.6074,0,1.1666,7.4198,42.6833,0.6456,2.1347,Act1
3.8039,0,1.077,7.6136,42.6833,0.6418,2.1332,Act1
4.6611,0,1.0753,7.7024,0.0,0.6333,2.1379,Act-1
4.2574,0,1.079,7.6933,0.0,0.6419,2.135,Act1
2.9872,0,1.276,8.3565,42.6833,0.6609,2.0121,Act-1
1.9326,0,1.1445,8.3179,42.6833,0.6733,1.8844,Act-1
1.7726,1,1.4442,8.281,169.1718,0.6621,2.1193,Act1
2.5313,0,1.2813,7.5972,0.0,0.663,2.0121,Act-1
2.6812,0,1.2599,7.5128,18.0108,0.6759,1.9742,Act1
2.9554,0,1.2748,7.8532,18.0108,0.8001,1.9461,Act-1
2.7116,1,1.4706,7.9369,18.0108,0.7388,2.0755,Act1
2.0322,1,1.4757,7.873,18.0108,0.7128,2.0766,Act1
5.0573,1,1.3567,7.3512,0.0,0.677,2.092,Act1
-0.2549,0,1.0496,7.2278,195.4072,0.5955,1.9735,Act1
5.1996,1,1.3556,7.7593,0.0,0.7352,2.0043,Act1
2.9509,1,1.3372,7.9653,65.7944,0.644,2.0187,Act1
4.1498,1,1.3444,7.9259,65.7944,0.6772,2.0195,Act1
3.3659,0,1.1513,7.8476,85.3667,0.6264,2.0287,Act1
-0.1578,0,1.3101,8.5111,60.5716,0.6527,1.985,Act-1
1.0788,0,1.0609,7.8816,121.6328,0.5759,2.0098,Act-1
2.2489,0,1.2661,9.057,60.6941,0.6621,2.0184,Act1
6.5501,1,1.623,8.0812,718.818,0.6353,2.1346,Act-1
2.7171,0,1.2236,7.6898,0.0,0.6449,1.9471,Act1
2.3318,0,1.1158,7.9704,128.05,0.6257,1.9503,Act1
3.0072,0,1.2681,7.7333,0.0,0.6422,2.0339,Act-1
2.8541,0,1.0317,7.9922,114.7263,0.5948,2.0522,Act-1
1.2367,0,1.2399,8.5833,42.6833,0.6222,1.8538,Act-1
0.7414,0,1.2096,8.2593,136.2746,0.6745,2.062,Act-1
4.3818,0,1.2067,8.5633,0.0,0.6278,2.0214,Act1
2.8949,0,1.1651,7.49,0.0,0.6482,2.1532,Act1
1.7651,0,1.1951,7.6898,50.9079,0.6544,2.1315,Act-1
1.5135,0,1.2653,7.5641,36.0215,0.6281,2.0077,Act-1
0.2791,0,1.2291,8.5573,178.7129,0.6133,2.0275,Act-1
1.6122,1,1.4044,8.0181,34.6738,0.699,2.0249,Act1
3.8867,1,1.4583,7.9949,136.2746,0.6751,2.0914,Act1
4.3867,0,1.0549,7.325,0.0,0.6274,2.1504,Act-1
3.2334,1,1.3426,7.3382,18.0108,0.698,2.0544,Act1
3.0393,0,1.1797,8.0139,39.0961,0.6586,2.133,Act1
5.4305,0,1.112,7.7523,0.0,0.6352,2.1978,Act1
1.6389,0,1.0621,7.9679,128.05,0.6195,2.1447,Act1
3.242,0,1.1817,7.4954,75.5805,0.6301,2.1384,Act-1
3.014,1,1.3177,8.4962,36.0215,0.6541,2.0291,Act1
4.1194,1,1.4376,8.5332,36.0215,0.6507,2.0986,Act1
4.339,1,1.4054,7.6543,93.5913,0.6806,2.0049,Act1
1.8624,1,1.594,7.6282,0.0,0.6911,2.1014,Act1
2.6434,1,1.3202,8.3967,42.6833,0.6632,2.0679,Act1
2.3659,1,1.4208,8.0635,34.6738,0.6971,1.9822,Act1
-1.8572,0,1.0647,8.3684,36.0215,0.6117,2.0435,Act-1
1.3023,1,1.3272,7.6875,77.4796,0.6498,2.1227,Act-1
3.72,1,1.2419,7.9655,42.6833,0.7018,1.9772,Act1
1.077,0,1.2496,7.8939,75.5805,0.6262,2.0158,Act1
-1.8682,0,1.048,9.1667,118.2639,0.5538,1.8957,Act-1
-1.2147,0,1.0861,8.3488,151.0739,0.6404,2.0166,Act-1
-0.3326,0,1.0972,8.325,135.0494,0.6436,2.0103,Act-1
2.2121,0,1.0865,7.9268,42.6833,0.6515,2.0171,Act-1
6.1342,0,1.1776,8.6622,0.0,0.6227,2.0856,Act-1
1.9036,0,1.2993,8.0946,188.7441,0.6298,2.0853,Act1
0.0711,0,1.2553,8.0981,104.9402,0.6222,2.1002,Act1
3.8666,0,1.0243,7.7991,93.5913,0.615,2.1228,Act1
5.303,1,1.1633,7.875,0.0,0.614,2.0644,Act-1
2.2894,0,1.0378,7.878,85.3667,0.6209,2.1624,Act1
1.8481,0,1.0336,7.8509,128.05,0.6195,2.1623,Act-1
4.2468,0,1.0992,8.0376,42.6833,0.6362,2.1293,Act1
1.7617,0,1.1004,8.3506,128.05,0.624,2.1411,Act-1
3.2614,0,1.0979,8.2452,85.3667,0.6207,2.1412,Act1
4.2187,0,1.1468,7.9683,42.6833,0.6712,2.1286,Act1
1.7974,0,1.1018,8.1726,128.05,0.6251,2.1405,Act-1
2.6651,0,1.1705,8.1019,85.3667,0.6449,2.1405,Act1
2.5776,0,1.1036,8.0525,85.3667,0.6282,2.1406,Act1
2.6037,1,1.321,7.6553,36.0215,0.6439,2.0198,Act1
2.7343,0,1.0141,7.9568,42.6833,0.6054,2.106,Act-1
3.9556,1,1.3992,7.9412,52.807,0.7364,2.0326,Act1
4.1361,0,1.1426,8.3063,42.6833,0.6571,2.1406,Act1
1.4033,1,1.3147,7.8188,16.7855,0.6469,2.0813,Act-1
0.985,0,1.2272,8.3889,60.6941,0.6534,2.0946,Act-1
2.9302,1,1.2493,7.6284,18.0108,0.6309,2.0744,Act1
4.7444,1,1.231,7.8817,42.6833,0.6586,2.123,Act1
3.7854,1,1.4996,7.9295,42.6833,0.671,2.0971,Act1
2.3352,1,1.4153,7.7069,46.4181,0.6687,2.0801,Act1
2.9557,1,1.3977,7.6176,42.6833,0.6422,2.1537,Act1
2.3566,1,1.4661,7.5536,16.663,0.6699,2.1454,Act1
-6.6658,0,1.0757,8.3478,308.5719,0.5965,2.0392,Act-1
