Orden,DrugBank_ID
1,DB00114
2,DB00116
3,DB00117
4,DB00118
5,DB00119
6,DB00120
7,DB00121
8,DB00122
9,DB00123
10,DB00125
11,DB00126
12,DB00127
13,DB00128
14,DB00129
15,DB00130
16,DB00131
17,DB00132
18,DB00133
19,DB00134
20,DB00135
21,DB00136
22,DB00137
23,DB00138
24,DB00139
25,DB00140
26,DB00141
27,DB00142
28,DB00143
29,DB00144
30,DB00145
31,DB00146
32,DB00147
33,DB00148
34,DB00149
35,DB00150
36,DB00151
37,DB00152
38,DB00153
39,DB00154
40,DB00155
41,DB00156
42,DB00157
43,DB00158
44,DB00159
45,DB00160
46,DB00161
47,DB00162
48,DB00163
49,DB00165
50,DB00166
51,DB00167
52,DB00168
53,DB00169
54,DB00170
55,DB00171
56,DB00172
57,DB00173
58,DB00174
59,DB00627
60,DB00638
61,DB00755
62,DB01322
63,DB01434
64,DB01436
65,DB02300
66,DB00182
67,DB00189
68,DB00191
69,DB00230
70,DB00237
71,DB00241
72,DB00306
73,DB00318
74,DB00327
75,DB00349
76,DB00371
77,DB00404
78,DB00470
79,DB00475
80,DB00497
81,DB00574
82,DB00611
83,DB00628
84,DB00647
85,DB00683
86,DB00690
87,DB00801
88,DB00802
89,DB00813
90,DB00829
91,DB00830
92,DB00858
93,DB00865
94,DB00897
95,DB00907
96,DB00913
97,DB00937
98,DB00956
99,DB00962
100,DB00984
101,DB01031
102,DB01068
103,DB01081
104,DB01105
105,DB01107
106,DB01185
107,DB01191
108,DB01215
109,DB01230
110,DB01351
111,DB01352
112,DB01353
113,DB01433
114,DB01437
115,DB01439
116,DB01440
117,DB01441
118,DB01442
119,DB01444
120,DB01445
121,DB01446
122,DB01447
123,DB01450
124,DB01452
125,DB01453
126,DB01454
127,DB01459
128,DB01460
129,DB01461
130,DB01462
131,DB01463
132,DB01464
133,DB01465
134,DB01466
135,DB01467
136,DB01468
137,DB01469
138,DB01470
139,DB01471
140,DB01472
141,DB01473
142,DB01475
143,DB01476
144,DB01477
145,DB01478
146,DB01480
147,DB01481
148,DB01482
149,DB01483
150,DB01484
151,DB01486
152,DB01487
153,DB01488
154,DB01489
155,DB01490
156,DB01491
157,DB01493
158,DB01494
159,DB01495
160,DB01496
161,DB01497
162,DB01498
163,DB01499
164,DB01500
165,DB01501
166,DB01502
167,DB01505
168,DB01506
169,DB01507
170,DB01509
171,DB01511
172,DB01512
173,DB01514
174,DB01515
175,DB01516
176,DB01518
177,DB01520
178,DB01521
179,DB01522
180,DB01523
181,DB01524
182,DB01525
183,DB01526
184,DB01527
185,DB01528
186,DB01529
187,DB01530
188,DB01531
189,DB01532
190,DB01533
191,DB01534
192,DB01535
193,DB01536
194,DB01537
195,DB01538
196,DB01539
197,DB01541
198,DB01542
199,DB01544
200,DB01545
201,DB01546
202,DB01547
203,DB01548
204,DB01549
205,DB01550
206,DB01551
207,DB01552
208,DB01553
209,DB01555
210,DB01556
211,DB01557
212,DB01558
213,DB01559
214,DB01560
215,DB01561
216,DB01562
217,DB01563
218,DB01564
219,DB01565
220,DB01566
221,DB01567
222,DB01568
223,DB01569
224,DB01570
225,DB01571
226,DB01573
227,DB01576
228,DB01577
229,DB01579
230,DB01588
231,DB01589
232,DB02901
233,DB03575
234,DB04829
235,DB04833
236,DB04836
237,DB00006
238,DB00007
239,DB00010
240,DB00014
241,DB00017
242,DB00027
243,DB00035
244,DB00050
245,DB00063
246,DB00067
247,DB00080
248,DB00091
249,DB00093
250,DB00094
251,DB00104
252,DB00106
253,DB00107
254,DB00109
255,DB00175
256,DB00176
257,DB00177
258,DB00178
259,DB00179
260,DB00180
261,DB00181
262,DB00183
263,DB00184
264,DB00185
265,DB00186
266,DB00187
267,DB00188
268,DB00190
269,DB00192
270,DB00193
271,DB00194
272,DB00195
273,DB00196
274,DB00198
275,DB00199
276,DB00200
277,DB00201
278,DB00202
279,DB00203
280,DB00204
281,DB00205
282,DB00206
283,DB00207
284,DB00208
285,DB00209
286,DB00210
287,DB00211
288,DB00212
289,DB00213
290,DB00214
291,DB00215
292,DB00216
293,DB00217
294,DB00218
295,DB00219
296,DB00220
297,DB00221
298,DB00222
299,DB00223
300,DB00224
301,DB00225
302,DB00226
303,DB00227
304,DB00228
305,DB00229
306,DB00231
307,DB00232
308,DB00233
309,DB00234
310,DB00235
311,DB00236
312,DB00238
313,DB00239
314,DB00240
315,DB00242
316,DB00243
317,DB00244
318,DB00246
319,DB00247
320,DB00248
321,DB00249
322,DB00250
323,DB00251
324,DB00252
325,DB00253
326,DB00254
327,DB00255
328,DB00256
329,DB00257
330,DB00258
331,DB00259
332,DB00260
333,DB00261
334,DB00262
335,DB00263
336,DB00264
337,DB00265
338,DB00266
339,DB00267
340,DB00268
341,DB00269
342,DB00270
343,DB00271
344,DB00272
345,DB00273
346,DB00274
347,DB00275
348,DB00276
349,DB00277
350,DB00278
351,DB00279
352,DB00280
353,DB00281
354,DB00282
355,DB00283
356,DB00284
357,DB00285
358,DB00286
359,DB00287
360,DB00288
361,DB00289
362,DB00290
363,DB00291
364,DB00292
365,DB00293
366,DB00294
367,DB00295
368,DB00296
369,DB00297
370,DB00298
371,DB00299
372,DB00300
373,DB00301
374,DB00302
375,DB00303
376,DB00304
377,DB00305
378,DB00307
379,DB00308
380,DB00309
381,DB00310
382,DB00311
383,DB00312
384,DB00313
385,DB00314
386,DB00315
387,DB00316
388,DB00317
389,DB00319
390,DB00320
391,DB00321
392,DB00322
