LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.206,1,1.5558,7.4928,0.0,0.7241,2.0559,8.0031,3.5699,49.315,-0.0105,Act1
4.0366,1,1.433,7.6061,0.0,0.6743,2.0294,4.4999,3.6647,20.3719,-0.0586,Act1
3.7141,1,1.5758,7.8305,32.8972,0.751,2.1331,7.0755,4.5414,48.5953,0.0109,Act1
3.4863,1,1.4919,8.1481,103.3774,0.7369,2.0368,12.023,3.988,60.1933,-0.1097,Act1
2.6063,1,1.4145,8.1694,34.4157,0.6855,2.0622,11.4095,3.9363,36.4458,-0.0395,Act1
2.373,0,1.3348,7.9405,60.6941,0.6726,2.0203,7.0378,3.7824,71.9066,-0.155,Act1
2.5649,0,1.3323,7.7564,32.8972,0.6703,2.0245,6.3533,3.7833,72.4454,-0.1411,Act1
5.0377,1,1.4034,7.4497,0.0,0.7273,2.0545,6.1075,3.6634,53.0186,0.1128,Act1
2.8109,1,1.3462,8.1136,68.9187,0.6461,2.0387,8.009,3.6139,33.1798,0.0697,Act1
4.1064,1,1.2669,7.9306,42.6833,0.6703,2.0752,9.4975,3.7557,40.5815,0.1037,Act1
3.5667,1,1.3971,7.5706,59.4689,0.6875,2.0742,7.7527,3.867,25.975,0.0984,Act1
4.1771,1,1.2877,7.5819,0.0,0.7072,2.0733,11.7584,3.8332,32.5122,0.0173,Act1
3.7967,1,1.2877,7.7656,0.0,0.6611,2.0744,11.2676,3.8332,39.9736,-0.0319,Act1
3.4968,1,1.2727,7.869,18.0108,0.6584,2.0558,10.7406,3.7557,43.6846,-0.0504,Act1
2.6541,1,1.4489,8.0076,34.7963,0.6911,2.0564,9.9759,3.7939,24.4545,-0.029,Act1
3.2334,1,1.3426,7.3382,18.0108,0.698,2.0544,0.0,3.6812,15.2768,-0.1718,Act1
2.6247,1,1.3486,7.8333,34.7963,0.671,1.9918,6.1236,3.2204,46.7201,-0.064,Act1
4.0342,1,1.2565,7.4066,0.0,0.6721,2.0629,7.1615,3.4313,20.8291,0.0683,Act1
2.01,1,1.282,7.8778,42.6833,0.6541,2.1003,5.9902,4.0722,54.2078,-0.0625,Act1
4.4,1,1.2598,7.419,18.0108,0.6306,2.1467,10.4728,4.104,52.7058,-0.0446,Act1
3.7174,1,1.2708,7.6042,85.3667,0.6434,2.0825,12.0364,3.4566,18.1862,0.0529,Act1
3.0417,1,1.5174,7.6989,34.7963,0.6827,2.0408,9.3035,4.5214,38.3317,0.102,Act1
4.2076,1,1.3427,7.4048,0.0,0.6434,2.0483,9.9303,3.4094,25.0586,0.1317,Act1
1.8905,0,1.3308,7.8966,18.0108,0.6457,2.0251,6.7036,3.7877,48.6232,-0.1854,Act-1
2.9361,1,1.5141,7.7895,18.0108,0.7172,2.128,7.0511,4.0095,21.1282,-0.1743,Act1
3.8155,1,1.5314,7.58,0.0,0.7071,2.0221,8.0863,3.8925,48.9065,0.0374,Act1
1.6443,1,1.3472,7.881,18.0108,0.7454,1.9763,5.4507,3.4198,40.0975,-0.0385,Act1
3.4464,1,1.292,7.8234,0.0,0.6784,2.0654,10.3396,3.9312,41.8013,-0.0531,Act1
1.2034,0,1.2084,8.0033,50.9079,0.6273,2.0601,8.7937,3.9421,29.727,0.0676,Act-1
2.8648,1,1.3306,7.7813,36.0215,0.7115,2.0149,2.6247,3.5032,42.4254,0.12,Act1
5.0799,1,1.6282,7.7056,18.0108,0.718,2.1266,12.8659,4.3125,36.2222,0.1024,Act1
4.3421,1,1.4089,8.0911,0.0,0.7105,2.0696,9.0147,4.6146,37.4905,-0.2191,Act1
4.0897,1,1.3878,7.8305,42.6833,0.6874,2.0303,8.2803,3.7533,33.163,0.1274,Act1
4.62,1,1.4896,7.8333,0.0,0.6846,2.0688,12.043,3.7027,46.0636,-0.1399,Act1
