compound_id,series,scaffold,r_group,yield_percent,substituent,smiles
A1,A,A,N(CH3)2,66,N(CH3)2,
A2,A,A,pyrrolidine,87,pyrrolidine,
A3,A,A,piperidine,53,piperidine,
A4,A,A,morpholine,47,morpholine,
A5,A,A,piperazine,45,piperazine,
A6,A,A,thiomorpholine,17,thiomorpholine,
B1,B,B,4-F,93,F,
B2,B,B,4-Cl,96,Cl,
B3,B,B,4-Br,87,Br,
B4,B,B,4-I,92,I,
B5,B,B,4-H,93,H,
B6,B,B,4-OCH3,41,OCH3,
B7,B,B,4-N(CH3)2,25,N(CH3)2,
B8,B,,4-(4-diphenylaminophenyl),19,,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-]
C1,C,C,4-F,40,F,
C2,C,C,4-Cl,61,Cl,
C3,C,C,4-Br,55,Br,
C4,C,C,4-I,52,I,
