compound_id,series,scaffold,r_group,substituent,yield_percent,preliminary_smiles,canonical_smiles,source
A1,A,A,N(CH3)2,N(CH3)2,66,CN(C)/C=C/c1onc(C)c([N+](=O)[O-])1,Cc1noc(/C=C/N(C)C)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
A2,A,A,pyrrolidine,pyrrolidine,87,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)C1,Cc1noc(/C=C/N2CCCC2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
A3,A,A,piperidine,piperidine,53,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)CC1,Cc1noc(/C=C/N2CCCCC2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
A4,A,A,morpholine,morpholine,47,C1COCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,Cc1noc(/C=C/N2CCOCC2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
A5,A,A,piperazine,piperazine,45,C1CNCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,Cc1noc(/C=C/N2CCNCC2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
A6,A,A,thiomorpholine,thiomorpholine,17,C1CSCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,Cc1noc(/C=C/N2CCSCC2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B1,B,B,4-F,F,93,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B2,B,B,4-Cl,Cl,96,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B3,B,B,4-Br,Br,87,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B4,B,B,4-I,I,92,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B5,B,B,4-H,H,93,Cc1noc(/C=C/c2ccc([H])cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccccc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B6,B,B,4-OCH3,OCH3,41,Cc1noc(/C=C/c2ccc(OC)cc2)c1[N+](=O)[O-],COc1ccc(/C=C/c2onc(C)c2[N+](=O)[O-])cc1,SMILES generado desde scaffold en notebook
B7,B,B,4-N(CH3)2,N(CH3)2,25,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook
B8,B,,4-(4-diphenylaminophenyl),,19,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],SMILES directo
C1,C,C,4-F,F,40,Cc1noc(/C=C/c2ccc(F)cc2)c1N,Cc1noc(/C=C/c2ccc(F)cc2)c1N,SMILES generado desde scaffold en notebook
C2,C,C,4-Cl,Cl,61,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,SMILES generado desde scaffold en notebook
C3,C,C,4-Br,Br,55,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,SMILES generado desde scaffold en notebook
C4,C,C,4-I,I,52,Cc1noc(/C=C/c2ccc(I)cc2)c1N,Cc1noc(/C=C/c2ccc(I)cc2)c1N,SMILES generado desde scaffold en notebook
