compound_id,preliminary_smiles,LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m
A1,CN(C)/C=C/c1onc(C)c([N+](=O)[O-])1,,,,,,,,,,,
A2,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)C1,,,,,,,,,,,
A3,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)CC1,,,,,,,,,,,
A4,C1COCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,,,,,,,,,,
A5,C1CNCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,,,,,,,,,,
A6,C1CSCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,,,,,,,,,,
B1,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B2,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B3,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B4,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B5,Cc1noc(/C=C/c2ccc([H])cc2)c1[N+](=O)[O-],,,,,,,,,,,
B6,Cc1noc(/C=C/c2ccc(OC)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B7,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],,,,,,,,,,,
B8,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],,,,,,,,,,,
C1,Cc1noc(/C=C/c2ccc(F)cc2)c1N,,,,,,,,,,,
C2,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,,,,,,,,,,,
C3,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,,,,,,,,,,,
C4,Cc1noc(/C=C/c2ccc(I)cc2)c1N,,,,,,,,,,,
