Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.7241,46.1538,10.2564,0.0,1.1758,7.4928,6.3637,1.5558,0.221,1.3625,0.4094,1.6197,-0.0383,-0.0105,0.0871,-0.1458,-0.056,-0.0261,0.8323,1.1258,1.1446,1.1795,1.1082,0.8067,3.8489,3.9358,2.0559,1.6942,141.7916,109.572,49.315,50.1115,0.0,149.7521,0.1377,0.6364,0.1665,3.5699,0.0,2.0341,0.0,13,8.0031,8.9164,4.4594,0.215,4.206,3.7134,0.5567,1,Act1
0.6743,45.2381,4.7619,2.381,0.9091,7.6061,5.7949,1.433,0.3023,1.3127,0.4048,1.5629,0.0882,-0.0586,0.0658,-0.2138,-0.2113,-0.2888,1.0979,1.0547,0.9114,1.0204,1.1053,0.9659,3.739,3.8159,2.0294,1.5758,132.7848,132.7848,20.3719,25.1449,0.0,109.7714,0.1049,0.6267,0.1609,3.6647,0.0219,3.9719,0.0219,14,4.4999,7.6311,3.9069,0.0863,4.0366,3.4303,0.7981,1,Act1
0.751,46.6667,8.8889,4.4444,1.3294,7.8305,6.603,1.5758,0.2031,1.3271,0.4174,1.6553,0.1269,0.0109,0.1275,0.0803,-0.027,0.0084,0.9567,1.1013,0.8598,1.0365,1.0103,1.2092,3.9566,3.9557,2.1331,1.8436,166.5291,129.2054,48.5953,110.7812,32.8972,193.8476,0.1924,0.6022,0.1626,4.5414,0.0,1.3896,0.0,13,7.0755,7.2113,4.858,0.3032,3.7141,3.8287,0.4272,1,Act1
0.7369,48.7179,5.1282,12.8205,1.8189,8.1481,5.9992,1.4919,0.1783,1.2893,0.5522,1.6,0.0019,-0.1097,0.0595,-0.2603,0.0609,0.0434,0.9474,1.2126,1.0799,1.1599,0.9863,0.9276,3.8508,3.9453,2.0368,1.5461,143.6523,112.3747,60.1933,163.442,103.3774,170.5279,0.2586,0.5378,0.1242,3.988,-1.3382,2.1978,-1.2096,12,12.023,11.8477,4.3923,0.3704,3.4863,3.8439,0.4666,1,Act1
0.6855,42.0,6.0,8.0,1.8267,8.1694,5.8873,1.4145,0.2159,1.2758,0.6779,1.5606,0.0201,-0.0395,-0.0669,-0.1537,-0.1017,-0.0278,1.1006,1.3312,1.0045,1.0369,0.9972,0.7916,3.8448,3.9407,2.0622,1.8034,154.4595,148.6521,36.4458,112.2034,34.4157,145.2097,0.2134,0.5311,0.1464,3.9363,-0.7158,0.166,-0.7158,12,11.4095,12.7351,4.4594,0.2463,2.6063,3.6966,0.5784,1,Act1
0.6726,41.1765,1.9608,9.8039,1.1148,7.9405,5.938,1.3348,0.2895,1.2595,0.381,1.4868,0.0494,-0.155,-0.0608,-0.1082,-0.003,-0.0459,0.8968,1.1551,0.9196,0.9146,1.2145,1.0709,3.7177,3.7975,2.0203,1.624,147.5933,115.3738,71.9066,114.973,60.6941,72.8874,0.1678,0.556,0.1465,3.7824,1.8478,2.277,-0.1682,12,7.0378,6.7426,3.585,0.2744,2.373,4.1326,0.7723,0,Act1
0.6703,40.8163,2.0408,8.1633,1.1686,7.7564,5.9241,1.3323,0.2928,1.2917,0.362,1.5034,0.037,-0.1411,-0.0419,-0.0473,0.025,-0.0394,0.9153,1.0441,0.8367,0.7955,1.2781,1.1478,3.7192,3.7952,2.0245,1.6242,150.1899,117.9704,72.4454,91.0418,32.8972,78.1308,0.1479,0.5729,0.1569,3.7833,2.4057,3.7354,-0.0166,11,6.3533,5.7132,3.4594,0.2572,2.5649,4.2272,0.8648,0,Act1
0.7273,46.1538,2.5641,0.0,1.0748,7.4497,5.8149,1.4034,0.272,1.2944,0.4196,1.5026,0.0991,0.1128,-0.0101,-0.1512,-0.0635,-0.227,0.9077,1.2012,0.6373,0.6859,0.8629,1.2001,3.7195,3.7872,2.0545,1.5926,184.77,113.4018,53.0186,39.1486,0.0,114.7121,0.1077,0.682,0.1999,3.6634,1.309,5.9776,1.309,14,6.1075,6.5196,3.8074,0.0997,5.0377,3.569,0.6582,1,Act1
0.6461,38.4615,10.2564,5.1282,1.9545,8.1136,5.3879,1.3462,0.2466,1.2549,0.7287,1.4859,0.0777,0.0697,0.0962,-0.1088,-0.0967,-0.0569,1.1674,0.9798,1.0753,1.0732,1.0758,0.8492,3.7483,3.9017,2.0387,1.4336,98.8625,98.8625,33.1798,100.7876,68.9187,93.3622,0.1971,0.5116,0.1589,3.6139,-0.5805,1.7455,-0.5805,8,8.009,8.8058,3.8074,0.2933,2.8109,3.522,0.7956,1,Act1
0.6703,42.8571,2.0408,4.0816,1.9645,7.9306,5.4559,1.2669,0.1853,1.2805,0.71,1.486,0.0088,0.1037,0.0286,-0.1384,-0.0333,0.0583,0.9813,1.4512,1.0135,1.0613,0.9262,0.8616,3.858,3.9506,2.0752,1.6905,155.5401,116.3915,40.5815,121.937,42.6833,107.2075,0.1479,0.5729,0.1358,3.7557,0.0414,1.8045,0.0414,15,9.4975,13.0596,3.8074,0.1078,4.1064,3.5811,0.8166,1,Act1
