LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.8347,1,1.5385,7.5345,18.0108,0.6771,2.0792,11.9866,3.9029,22.2606,-0.0681,Act1
6.1425,0,1.1563,7.4397,85.3667,0.6118,2.0637,12.6711,3.5623,34.902,-0.0493,Act1
4.9651,0,1.1828,7.5611,128.05,0.6097,2.0634,12.7355,3.3275,26.6474,-0.0229,Act-1
3.8784,0,1.1546,7.6389,128.05,0.6084,2.0599,11.7609,3.5623,34.4254,-0.0246,Act-1
-7.2543,1,1.1107,8.3892,735.3297,0.6162,2.0389,6.8846,3.4932,188.2536,0.0432,Act-1
-2.2527,0,1.2483,8.6786,85.3667,0.6252,2.0328,4.5488,3.0433,12.4348,0.0142,Act-1
-1.4625,0,1.2536,8.1515,85.3667,0.6131,2.0236,2.971,2.8487,5.2913,0.0125,Act-1
-0.3646,1,1.3874,7.4583,16.7855,0.648,2.0224,0.0,2.7665,12.5429,-0.2275,Act-1
1.6982,0,1.2483,7.918,42.6833,0.6364,2.0364,9.543,2.9935,24.7704,0.0278,Act-1
1.6402,1,1.3725,8.0294,0.0,0.9014,1.9936,6.4474,3.7647,2.2438,-0.7114,Act1
2.901,1,1.3873,8.0625,0.0,0.7708,2.0033,6.4474,3.7429,62.6073,-0.6063,Act1
1.0608,1,1.4494,7.9091,16.7855,0.708,2.1507,4.7107,2.9813,9.4839,0.122,Act-1
2.6525,1,1.4262,7.8077,0.0,0.7219,2.0476,4.6955,3.1701,11.1379,-0.1714,Act-1
1.9037,0,1.1569,8.4943,121.3882,0.6718,1.9778,13.4788,3.7279,38.3165,0.083,Act-1
2.9268,0,1.1932,7.6574,93.5913,0.6951,2.0468,4.5858,2.7675,24.2964,0.0008,Act-1
1.5714,1,1.4087,7.6225,36.0215,0.7283,2.0967,3.7091,3.3263,16.2106,-0.0542,Act-1
5.025,1,1.458,7.8864,42.6833,0.7764,2.0132,7.4023,4.0894,33.0074,-0.036,Act-1
4.8115,0,1.0654,7.381,42.6833,0.635,2.137,7.2618,3.394,25.9964,-0.0143,Act-1
3.98,0,1.1217,7.6377,42.6833,0.6491,2.1327,9.0153,3.499,26.0608,-0.0985,Act-1
4.296,0,1.0861,7.5903,85.489,0.6335,2.1362,10.0659,3.5384,28.7531,-0.0727,Act1
4.3047,0,1.0829,7.6389,42.6833,0.6456,2.1343,8.9985,3.5351,31.7809,-0.0825,Act1
3.8315,0,1.0789,7.6212,42.6833,0.6418,2.1348,8.7841,3.4982,28.5953,0.0026,Act-1
4.1879,0,1.0767,7.5942,42.6833,0.6386,2.1365,9.0153,3.4984,31.1298,-0.0843,Act1
3.9093,0,1.1869,7.6667,42.6833,0.6605,2.1183,9.0153,3.847,32.4319,-0.111,Act1
5.2825,0,1.0708,7.4203,42.6833,0.6392,2.1364,7.3335,3.4623,29.1819,-0.0854,Act-1
4.1593,0,1.1804,7.6364,85.3667,0.6532,2.1335,8.7841,3.9112,21.5783,0.0063,Act1
4.4183,0,1.1783,7.5217,42.6833,0.6491,2.1343,8.7841,3.9147,26.8218,0.0075,Act1
5.6074,0,1.1666,7.4198,42.6833,0.6456,2.1347,9.9794,3.9156,36.9599,-0.0295,Act1
3.8039,0,1.077,7.6136,42.6833,0.6418,2.1332,8.7841,3.7055,34.3154,0.0101,Act1
4.6611,0,1.0753,7.7024,0.0,0.6333,2.1379,11.3492,3.4419,37.8445,-0.0507,Act-1
4.2574,0,1.079,7.6933,0.0,0.6419,2.135,9.5666,3.5002,35.7866,-0.0392,Act1
2.9872,0,1.276,8.3565,42.6833,0.6609,2.0121,5.681,3.4235,17.0069,0.0562,Act-1
1.9326,0,1.1445,8.3179,42.6833,0.6733,1.8844,2.7495,1.7015,2.5345,0.0011,Act-1
1.7726,1,1.4442,8.281,169.1718,0.6621,2.1193,12.1761,3.8017,33.8769,-0.0452,Act1
2.5313,0,1.2813,7.5972,0.0,0.663,2.0121,3.7467,2.4437,7.397,-0.2952,Act-1
2.6812,0,1.2599,7.5128,18.0108,0.6759,1.9742,0.0,2.421,13.5459,-0.0187,Act1
