Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.6771,43.3962,11.3208,0.0,1.9001,7.5345,6.0519,1.5385,0.1693,1.3171,0.6097,1.5563,0.0911,-0.0681,-0.1082,-0.0684,-0.024,-0.1464,1.0909,1.1013,0.951,1.0625,1.0048,0.7671,3.8779,4.0154,2.0792,1.702,151.6884,151.6884,22.2606,66.7746,18.0108,191.6583,0.1209,0.6123,0.1008,3.9029,0.0,7.12,0.0,16,11.9866,10.637,4.585,0.1741,4.8347,3.993,0.5126,1,Act1
0.6118,36.9863,0.0,2.7397,2.2259,7.4397,4.9558,1.1563,0.2171,1.2384,0.5812,1.3465,0.0248,-0.0493,-0.0496,-0.0306,0.0881,-0.0777,1.0437,0.9973,1.1569,1.1595,1.0931,0.8095,3.811,3.9293,2.0637,1.76,104.9223,104.9223,34.902,101.1336,85.3667,27.2984,0.0401,0.6489,0.1201,3.5623,3.4369,0.0,0.7998,25,12.6711,11.9063,2.0,0.0995,6.1425,4.3931,0.5403,0,Act1
0.6097,36.4865,0.0,4.0541,2.2667,7.5611,4.9558,1.1828,0.2125,1.2175,0.6062,1.3373,0.0626,-0.0229,0.0026,-0.104,0.1084,-0.056,1.0098,1.0356,1.1655,1.1733,1.0868,0.9092,3.7829,3.919,2.0634,1.7758,108.6784,108.6784,26.6474,128.05,128.05,26.6474,0.0537,0.6223,0.1165,3.3275,2.7656,0.0,1.1875,24,12.7355,11.4908,2.0,0.1436,4.9651,4.5887,0.5665,0,Act-1
0.6084,36.1111,0.0,5.5556,2.2667,7.6389,4.9628,1.1546,0.2138,1.2161,0.5927,1.3384,0.0648,-0.0246,0.0468,-0.0364,0.0739,-0.0641,1.0088,0.9477,1.1463,1.1597,1.1258,0.9069,3.807,3.9269,2.0599,1.7035,104.4456,104.4456,34.4254,154.8168,128.05,27.2984,0.0697,0.5956,0.1166,3.5623,3.2477,0.0,0.7582,21,11.7609,11.6669,2.0,0.1646,3.8784,4.5602,0.6237,0,Act-1
0.6162,33.4471,8.1911,11.2628,8.0887,8.3892,6.5697,1.1107,0.0887,1.2262,0.8908,1.446,0.0208,0.0432,-0.0024,-0.0094,-0.1024,-0.0475,1.0316,0.9366,1.3287,1.4354,1.1136,0.9541,3.8559,3.9834,2.0389,1.8948,356.2219,356.2219,188.2536,1082.915,735.3297,173.1214,0.1945,0.4854,0.0248,3.4932,-30.9372,1.2152,-1.752,46,6.8846,6.7321,5.5236,0.4133,-7.2543,8.5643,0.0152,1,Act-1
0.6252,36.0,4.0,16.0,1.0714,8.6786,4.7067,1.2483,0.4401,1.1858,0.7355,1.429,0.0951,0.0142,-0.229,0.3912,0.3422,0.0618,1.2022,1.3396,1.2415,1.278,0.915,0.9574,3.4422,3.7184,2.0328,0.9391,40.8635,40.8635,12.4348,170.0313,85.3667,31.6143,0.2261,0.4698,0.2668,3.0433,-1.2384,0.0837,-1.2384,5,4.5488,2.8717,3.0,0.5488,-2.2527,4.4377,0.5506,0,Act-1
0.6131,34.7826,4.3478,8.6957,0.9421,8.1515,4.517,1.2536,0.4942,1.2382,0.6862,1.4621,-0.0221,0.0125,-0.1589,0.4678,0.3621,0.1447,1.183,1.5763,1.2176,1.1941,1.139,0.9229,3.3215,3.6627,2.0236,0.8882,43.1963,43.1963,5.2913,118.2639,85.3667,41.0906,0.142,0.526,0.2865,2.8487,0.0,1.0026,0.0,5,2.971,2.8717,2.8074,0.4416,-1.4625,4.5983,0.6603,0,Act-1
0.648,40.0,8.0,0.0,0.8889,7.4583,5.2905,1.3874,0.4053,1.3245,0.4422,1.5668,-0.0071,-0.2275,-0.2796,0.2837,0.2184,-0.0583,1.0959,0.6583,1.0343,1.0891,1.1474,0.9223,3.4358,3.7124,2.0224,1.2519,59.4953,59.4953,12.5429,32.8972,16.7855,71.6406,0.0828,0.6304,0.2412,2.7665,0.0,1.3756,0.0,7,0.0,4.3952,3.4594,0.2693,-0.3646,4.732,0.4827,1,Act-1
0.6364,34.1463,7.3171,7.3171,1.6009,7.918,4.8964,1.2483,0.237,1.2591,0.7385,1.4119,-0.019,0.0278,-0.0181,0.0964,-0.1737,0.0423,0.8751,0.9053,1.0914,1.3095,0.7965,0.9837,3.7009,3.9279,2.0364,1.4953,100.9664,61.8178,24.7704,139.2868,42.6833,59.2188,0.1646,0.525,0.1835,2.9935,0.0883,0.4719,0.0883,7,9.543,6.9481,3.0,0.2103,1.6982,4.2394,0.5274,0,Act-1
0.9014,40.0,8.0,8.0,1.1211,8.0294,5.1006,1.3725,0.2754,1.2882,0.6188,1.6119,0.0551,-0.7114,-0.5199,0.0501,0.1788,-0.1372,2.2795,0.2071,0.6398,1.0701,1.272,1.3672,3.7688,3.9266,1.9936,0.9915,77.1961,77.1961,2.2438,53.6723,0.0,85.2893,0.3316,0.5029,0.2256,3.7647,0.0,1.1544,0.0,6,6.4474,6.3053,3.7004,0.2911,1.6402,4.9999,0.6372,1,Act1
