ID_Molecula,Probabilidad_Permeable,LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m
Molecule9,0.5298732766391411,3.9101,0,1.0938,7.9118,54.0323,0.6161,2.0252,15.258,3.6903,43.1806,-0.0597
Molecule18,0.4826296030817267,3.9401,0,1.0976,7.9461,72.043,0.6161,2.0303,15.6563,3.563,45.7152,-0.0112
Molecule32,0.4578659960525746,2.9635,0,1.0968,8.0017,114.7263,0.6186,2.0265,15.2464,3.5661,37.328,-0.0309
Molecule10,0.445852669692207,3.8173,0,1.092,7.8942,72.043,0.6153,2.0236,16.1347,3.5284,48.2497,-0.0619
Molecule8,0.413669865534452,2.7299,0,1.1214,7.9439,86.9294,0.6224,2.0082,13.7205,3.8421,51.8641,-0.0402
Molecule7,0.413669865534452,2.7299,0,1.1214,7.9439,86.9294,0.6224,2.0082,13.7205,3.8421,51.8641,-0.0402
Molecule33,0.36329710403449245,2.7719,0,1.0968,7.9948,114.7263,0.6186,2.021,15.5504,3.5205,41.9682,-0.0403
Molecule20,0.36066863583605435,2.7978,0,1.1214,7.9439,86.9294,0.6224,2.0208,15.708,3.8386,51.8641,-0.0273
Molecule11,0.3556133204391977,2.7948,0,1.0313,7.9752,72.043,0.6058,2.0228,14.0952,3.5284,42.5296,-0.0587
Molecule31,0.3543283855265326,2.591,0,1.0988,8.016,114.7263,0.6196,2.0208,15.1497,3.5206,39.4337,-0.0224
Molecule12,0.3442687445595725,2.835,0,1.0953,7.9722,86.9294,0.6186,2.0265,15.4192,3.5151,48.2018,0.0661
Molecule13,0.34405436265147504,2.8607,1,1.1339,7.9709,90.0538,0.6266,2.0311,16.8442,3.644,65.437,0.0415
Molecule14,0.34405436265147504,2.8607,1,1.1339,7.9709,90.0538,0.6266,2.0311,16.8442,3.644,65.437,0.0415
Molecule17,0.33925470709307326,2.7827,0,1.1013,8.1024,86.9294,0.619,2.0258,14.3698,3.6176,57.3229,-0.0114
Molecule19,0.32785666735100194,2.8582,0,1.0337,8.0018,72.043,0.602,2.0227,13.9068,3.5234,42.5296,-0.0356
Molecule22,0.3264504562300246,2.6079,0,1.0257,7.962,86.9294,0.6064,2.0213,14.0268,3.5238,48.0275,0.0112
Molecule16,0.3224614200833981,2.6094,0,1.097,7.9858,86.9294,0.6196,2.0222,15.3621,3.515,50.7364,0.0319
Molecule21,0.3216889937118512,2.3584,0,1.0266,7.9759,86.9294,0.607,2.0209,13.8485,3.5235,50.562,-0.0346
Molecule34,0.31174422084704584,2.0579,0,1.036,8.1105,114.7263,0.6034,2.0208,13.3026,3.5205,36.2481,-0.0245
Molecule1,0.30646604500387326,2.1491,0,1.0926,8.0208,72.043,0.6133,2.0314,16.6321,3.644,50.4198,-0.0151
Molecule15,0.3019728401414992,2.5869,0,1.097,7.9858,86.9294,0.6196,2.0204,15.5424,3.5146,50.7364,0.0197
Molecule23,0.3011651752767666,2.7016,0,1.0257,7.9547,86.9294,0.6064,2.0361,14.3974,3.5235,53.0965,-0.0083
Molecule6,0.2788799353724399,2.3439,0,1.0866,7.9748,72.043,0.6168,2.0562,17.2806,3.644,60.5579,0.0056
Molecule29,0.2730414861125989,2.0199,0,1.1248,8.0326,129.6128,0.6258,2.0655,12.8758,3.8421,48.1172,0.0037
Molecule3,0.26148603475325977,1.6136,0,1.0301,8.0324,68.9187,0.6053,2.0075,11.1926,3.5138,38.2538,0.0001
Molecule25,0.2590747833625368,1.9902,0,1.0884,8.0714,114.7263,0.618,2.0378,17.3048,3.644,54.3409,0.0426
Molecule26,0.2590747833625368,1.9902,0,1.0884,8.0714,114.7263,0.618,2.0378,17.3048,3.644,54.3409,0.0426
Molecule5,0.2534285840956416,1.4935,0,1.0897,8.0393,72.043,0.6119,2.0314,16.6963,3.6156,50.4198,-0.046
Molecule2,0.2364704627864242,1.8086,0,1.0943,8.0408,72.043,0.6141,2.0313,16.7066,3.644,47.8853,-0.0357
Molecule4,0.23108451009293338,1.7274,0,1.0983,8.0519,72.043,0.6078,2.0313,15.9358,3.5753,50.4198,-0.0824
Molecule24,0.21425585948977277,1.2209,0,1.0312,8.1118,114.7263,0.6045,2.0214,12.0827,3.6815,34.1424,0.0013
Molecule28,0.2061309472468151,1.6767,0,1.1276,8.0556,129.6128,0.6271,2.0007,12.5074,3.8421,45.5826,-0.0103
Molecule30,0.17812995133131462,1.0839,0,1.032,8.1542,129.6128,0.6052,2.017,12.411,3.5147,36.677,0.0149
Molecule27,0.1780278371115961,1.0614,0,1.032,8.1542,129.6128,0.6052,2.0157,12.6717,3.5144,36.677,0.0143
