DrugBank_ID,Probabilidad,Leverage,Dominio_AD,SMILES,Lipinski_Viable,MW,LogP
DB00404,0.99,0.0009410600599784102,DENTRO,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,SÍ,308.77,3.58
DB03786,0.98,0.001027064991811696,DENTRO,CC(C)COC1=CC=C(C=C1C#N)C1=NC(C)=C(S1)C(O)=O,SÍ,316.38,3.72
DB04854,0.98,0.001027064991811696,DENTRO,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,SÍ,316.38,3.72
DB03899,0.97,0.0007371270817784148,DENTRO,CCCCN1C(CC2=CC=C(OC)C=C2)=NC2=C1N=CN=C2N,SÍ,311.39,2.81
DB04920,0.97,0.0017774234580224335,DENTRO,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,SÍ,456.32,4.25
DB00496,0.96,0.0010404051625205256,DENTRO,NC(=O)C(C1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,SÍ,426.56,3.96
DB00561,0.96,0.0017475493193085502,DENTRO,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,SÍ,378.52,3.17
DB04715,0.96,0.0007910358246230364,DENTRO,CC(=O)C1=CC=CC(=C1)C1=CN=C2C=CC(NCC3CC3)=NN12,SÍ,306.37,3.42
DB05838,0.96,0.0010872017314489091,DENTRO,CC(C)NC(=O)CC1CCCN(C(=O)C2=C(Cl)C=C(C=C2)N2CCCC2)C2=CC=CC=C12,SÍ,454.01,5.38
DB00656,0.9530273583495291,0.0018645851817190105,DENTRO,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,SÍ,371.87,2.36
DB00450,0.95,0.0006387873209580296,DENTRO,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12,SÍ,379.44,3.68
DB00831,0.95,0.0012946071300577408,DENTRO,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,SÍ,407.51,4.95
DB02882,0.95,0.002149190978890128,DENTRO,NCC1=NN=C2C=CC=CC2=C1N=CC=C(C1=CC=CC=C1)C1=CC=CC=C1,SÍ,364.45,4.92
DB02984,0.95,0.0010709511535759528,DENTRO,COC1=CC2=C(C=C1OC)C(NC1=CC=CC(SC)=C1)=NC=N2,SÍ,327.41,4.11
