compound_id,series,scaffold,r_group,yield_percent,substituent,preliminary_smiles,source,valid_smiles,canonical_smiles,mw,logp,hbd,hba,lipinski_violations,lipinski_pass,tpsa,rotatable_bonds,heavy_atoms,smiles
A1,A,A,N(CH3)2,66,N(CH3)2,CN(C)/C=C/c1onc(C)c([N+](=O)[O-])1,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N(C)C)c1[N+](=O)[O-],197.194,1.424,0,5,0,True,72.41,3,14,
A2,A,A,pyrrolidine,87,pyrrolidine,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)C1,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N2CCCC2)c1[N+](=O)[O-],223.232,1.958,0,5,0,True,72.41,3,16,
A3,A,A,piperidine,53,piperidine,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)CC1,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N2CCCCC2)c1[N+](=O)[O-],237.259,2.348,0,5,0,True,72.41,3,17,
A4,A,A,morpholine,47,morpholine,C1COCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N2CCOCC2)c1[N+](=O)[O-],239.231,1.194,0,6,0,True,81.64,3,17,
A5,A,A,piperazine,45,piperazine,C1CNCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N2CCNCC2)c1[N+](=O)[O-],238.247,0.767,1,6,0,True,84.44,3,17,
A6,A,A,thiomorpholine,17,thiomorpholine,C1CSCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/N2CCSCC2)c1[N+](=O)[O-],255.299,1.911,0,6,0,True,72.41,3,17,
B1,B,B,4-F,93,F,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],248.213,3.201,0,4,0,True,69.17,3,18,
B2,B,B,4-Cl,96,Cl,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],264.668,3.715,0,4,0,True,69.17,3,18,
B3,B,B,4-Br,87,Br,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],309.119,3.824,0,4,0,True,69.17,3,18,
B4,B,B,4-I,92,I,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],356.119,3.666,0,4,0,True,69.17,3,18,
B5,B,B,4-H,93,H,Cc1noc(/C=C/c2ccc([H])cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccccc2)c1[N+](=O)[O-],230.223,3.062,0,4,0,True,69.17,3,17,
B6,B,B,4-OCH3,41,OCH3,Cc1noc(/C=C/c2ccc(OC)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,COc1ccc(/C=C/c2onc(C)c2[N+](=O)[O-])cc1,260.249,3.07,0,5,0,True,78.4,4,19,
B7,B,B,4-N(CH3)2,25,N(CH3)2,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],273.292,3.128,0,5,0,True,72.41,4,20,
B8,B,,4-(4-diphenylaminophenyl),19,,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],SMILES directo,True,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],473.532,8.198,0,5,1,True,72.41,7,36,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-]
C1,C,C,4-F,40,F,Cc1noc(/C=C/c2ccc(F)cc2)c1N,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(F)cc2)c1N,218.231,2.875,1,3,0,True,52.05,2,16,
C2,C,C,4-Cl,61,Cl,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,234.686,3.389,1,3,0,True,52.05,2,16,
C3,C,C,4-Br,55,Br,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,279.137,3.498,1,3,0,True,52.05,2,16,
C4,C,C,4-I,52,I,Cc1noc(/C=C/c2ccc(I)cc2)c1N,SMILES generado desde scaffold en notebook,True,Cc1noc(/C=C/c2ccc(I)cc2)c1N,326.137,3.34,1,3,0,True,52.05,2,16,
