compound_id,series,scaffold,r_group,substituent,yield_percent,preliminary_smiles,source,valid_smiles,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,heavy_atoms,lipinski_violations,lipinski_pass
A1,A,A,N(CH3)2,N(CH3)2,66,CN(C)/C=C/c1onc(C)c([N+](=O)[O-])1,,True,Cc1noc(/C=C/N(C)C)c1[N+](=O)[O-],197.194,1.424,72.41,0,5,3,14,0,True
A2,A,A,pyrrolidine,pyrrolidine,87,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)C1,,True,Cc1noc(/C=C/N2CCCC2)c1[N+](=O)[O-],223.232,1.958,72.41,0,5,3,16,0,True
A3,A,A,piperidine,piperidine,53,C1CCN(/C=C/c2onc(C)c([N+](=O)[O-])2)CC1,,True,Cc1noc(/C=C/N2CCCCC2)c1[N+](=O)[O-],237.259,2.348,72.41,0,5,3,17,0,True
A4,A,A,morpholine,morpholine,47,C1COCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,True,Cc1noc(/C=C/N2CCOCC2)c1[N+](=O)[O-],239.231,1.194,81.64,0,6,3,17,0,True
A5,A,A,piperazine,piperazine,45,C1CNCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,True,Cc1noc(/C=C/N2CCNCC2)c1[N+](=O)[O-],238.247,0.767,84.44,1,6,3,17,0,True
A6,A,A,thiomorpholine,thiomorpholine,17,C1CSCCN1/C=C/c2onc(C)c([N+](=O)[O-])2,,True,Cc1noc(/C=C/N2CCSCC2)c1[N+](=O)[O-],255.299,1.911,72.41,0,6,3,17,0,True
B1,B,B,4-F,F,93,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccc(F)cc2)c1[N+](=O)[O-],248.213,3.201,69.17,0,4,3,18,0,True
B2,B,B,4-Cl,Cl,96,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccc(Cl)cc2)c1[N+](=O)[O-],264.668,3.715,69.17,0,4,3,18,0,True
B3,B,B,4-Br,Br,87,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccc(Br)cc2)c1[N+](=O)[O-],309.119,3.824,69.17,0,4,3,18,0,True
B4,B,B,4-I,I,92,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccc(I)cc2)c1[N+](=O)[O-],356.119,3.666,69.17,0,4,3,18,0,True
B5,B,B,4-H,H,93,Cc1noc(/C=C/c2ccc([H])cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccccc2)c1[N+](=O)[O-],230.223,3.062,69.17,0,4,3,17,0,True
B6,B,B,4-OCH3,OCH3,41,Cc1noc(/C=C/c2ccc(OC)cc2)c1[N+](=O)[O-],,True,COc1ccc(/C=C/c2onc(C)c2[N+](=O)[O-])cc1,260.249,3.07,78.4,0,5,4,19,0,True
B7,B,B,4-N(CH3)2,N(CH3)2,25,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],,True,Cc1noc(/C=C/c2ccc(N(C)C)cc2)c1[N+](=O)[O-],273.292,3.128,72.41,0,5,4,20,0,True
B8,B,,4-(4-diphenylaminophenyl),,19,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],direct preliminary SMILES interpreted from compuestos.pdf scheme 2; confirm against original structure,True,Cc1noc(/C=C/c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c1[N+](=O)[O-],473.532,8.198,72.41,0,5,7,36,1,True
C1,C,C,4-F,F,40,Cc1noc(/C=C/c2ccc(F)cc2)c1N,,True,Cc1noc(/C=C/c2ccc(F)cc2)c1N,218.231,2.875,52.05,1,3,2,16,0,True
C2,C,C,4-Cl,Cl,61,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,,True,Cc1noc(/C=C/c2ccc(Cl)cc2)c1N,234.686,3.389,52.05,1,3,2,16,0,True
C3,C,C,4-Br,Br,55,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,,True,Cc1noc(/C=C/c2ccc(Br)cc2)c1N,279.137,3.498,52.05,1,3,2,16,0,True
C4,C,C,4-I,I,52,Cc1noc(/C=C/c2ccc(I)cc2)c1N,,True,Cc1noc(/C=C/c2ccc(I)cc2)c1N,326.137,3.34,52.05,1,3,2,16,0,True
